24.07.2026                                                           Dynamische Listenausgabe                                                                  1


	TCODE	PGMNA	DYPNO	MENUE	CINFO	ARBGB	TTEXT
	/ACCGO/CAS_STLGRPDIS	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00	&&	Abrechnungsgruppe: Anzeige
	/ACCGO/CAS_STL_GRP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Abrechnungsgruppe
	/ACCGO/CAS_STL_MAPEX		 0000		   02		KonditArten für Abrechnung pflegen
	/ACCGO/CAS_STL_MAPOP		 0000		   02		KonditArten für Optionalität pflegen
	/ACCGO/CAS_STL_SPLIT		 0000		   02		Splitkrit. für AbrechnGruppe pflegen
	/ACCGO/CAT2ITM		 0000		   02		Positionsarttypen pflegen
	/ACCGO/CHNG_LOG_DISP	/ACCGO/CHANGE_LOG_REPORT	 1000		   80		Report z. Kontraktänderungsprotokoll
	/ACCGO/CMG_HIST	/ACCGO/CMGL_STORAGE_HISTORY	 1000		   80		VAB-Lagerhistorienbericht
	/ACCGO/CMG_STOR	/ACCGO/CMGL_VM_STORAGE_TYPE	 1000		   80		Lagerprogrammtypen pflegen
	/ACCGO/CMM_DEL_DOC_V	/ACCGO/RCMM_VLOGP_DELETION	 1000		   80		ACM: DokVers. aus Report.-DB löschen
	/ACCGO/COMMON_UI		 0000		   02		Allg. UI-Einstellungen konfigurieren
	/ACCGO/COMPAPP		 0000		   02		Berechnungsansätze pflegen
	/ACCGO/CONVERT_UOM	/ACCGO/UOM_CONVERSION	 1000		   80		Umrechnung der ME-Menge
	/ACCGO/CO_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Abruf-Work-Center
	/ACCGO/CRDLMT_BRF_ID		 0000		   02		Kreditlimit EntscheidTabelle BRF-ID
	/ACCGO/CREDIT_LIMIT		 0000		   02		KredLimit für KontrPart. definieren
	/ACCGO/CROP_SEASONID		 0000		   02		Erntesaison-ID
	/ACCGO/CRT_BGRFC_DST	/ACCGO/CREATE_BRFC_DESTINATION	 1000		   80		bgRFC-Destinationen anlegen
	/ACCGO/CUST_MAINTAIN	/ACCGO/CMN_CDTSCUST	 1000		   80		IMG Agricultural Contract Management
	/ACCGO/CUST_OPTN		 0000		   02		Optionalitätstypen pflegen
	/ACCGO/CUST_PA_TYPE		 0000		   02		Preisaspektarten pflegen
	/ACCGO/CUST_PCT_CAT		 0000		   02		Konditionsartentypen pflegen
	/ACCGO/CUST_VP_SPOT		 0000		   02		Bewertungspunkte in Spot/AK pflegen
	/ACCGO/CUS_PRASP		 0000		   02		Preisaspektarten pflegen
	/ACCGO/DDIC	/ACCGO/CMN_DDIC_CHECKS	 1000		   80		Report zur DDIC-Attributprüfung
	/ACCGO/DFW_APP_WC	/ACCGO/DFW_APP_WC	 0100		   00		Anwendungsbelegfluss
	/ACCGO/DFW_WC	/ACCGO/SAPLDFW_WRKC	 2001		   00		Work Center für Belegfluss
	/ACCGO/DGR		 0000		   02		Nummernkreis für HVR-Ereignis bearb.
	/ACCGO/DGR_AUTO_SHIP		 0000		   02		Transaktion für TGB autom. lieferbar
	/ACCGO/DGR_BY_PROD		 0000		   02		Nach Produkt pflegen
	/ACCGO/DGR_CUSHION	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Reservestammdaten pflegen
	/ACCGO/DGR_DEF_SSHOT	/ACCGO/DGR_DEFINE_SNAPSHOT_TIM	 1000		   80		TGB-EOD-Snapshot-Def. verwalten
	/ACCGO/DGR_FWD	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		TGB-Weiterleitungspflege
	/ACCGO/DGR_HLR		 0000		   02		HVR Produktionsservice pflegen
	/ACCGO/DGR_LIC_PLANT	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Details zum lizenz. TGB-Werk pflegen
	/ACCGO/DGR_MAINT	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Anfangsbuchbestand pflegen
	/ACCGO/DGR_MNT_SSHOT	/ACCGO/DGR_MAINT_DAILY_SNAPSHT	 1000		   80		Tagesabschl.-Snapshot f. TGB anlegen
	/ACCGO/DGR_PROCESS	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Verarbeitung Produktionsservice
	/ACCGO/DGR_PS_PLANT		 0000		   02		Produktionsservice von Werk pflegen
	/ACCGO/DGR_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Work Center für Produktionsservices
	/ACCGO/DOCTYP		 0000		   02		Abrechnungsbelegarten pflegen
	/ACCGO/DOCTYPD		 0000		   02		Abrechnungsbelegarten konfigurieren
	/ACCGO/DOCTYP_1		 0000		   02		Abrechnungsbelegarten pflegen
	/ACCGO/DOCTYP_2		 0000		   02		Abrechnungsbelegarten pflegen
	/ACCGO/DPNUMRANGE		 0000		   02		Nummernkreis für QSAA bearbeiten
	/ACCGO/DPQSNUMRANGE		 0000		   02		Nummernkreis für QSAA (TNRO) bearb.
	/ACCGO/DPQS_CONDTYPE		 0000		   02		Konditionsarten für QSAA pflegen
	/ACCGO/DPQS_SCH_TEXT		 0000		   02		Plantext in Anmeldesprache pflegen
	/ACCGO/EM_ACC		 0000		   02		Konfig. f. autom. Abgrenzung pflegen
	/ACCGO/EM_EXC		 0000		   02		Nebenkostenausschlüsse pfl. - Bras.
	/ACCGO/EM_EXCF		 0000		   02
	/ACCGO/EM_SERMP		 0000		   02		Servicezuordnung pflegen
	/ACCGO/ERM	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Erlösabgrenzungsmonitor
	/ACCGO/EXCL_SPOT		 0000		   02		Ungült. Rohstoff/Material & Ort pfl.
	/ACCGO/EXM_COPY	/ACCGO/EXM_COPY_EXPENSE	 1000		   80		Report f. Nebenkostenkopie/-abgrenzg
	/ACCGO/EXPVBD		 0000		   02		LF-Art ermitteln
	/ACCGO/EXP_CUS		 0000		   02		Strategie verrechenb. Aufwand/Verbr.
	/ACCGO/EXP_RECONCIL	/ACCGO/EXP_REBUILD_ON_DEMAND	 1000		   80		Report zur Exposure-Abstimmung
	/ACCGO/FEE_AD		 0000		   02		Anwendbaren Beleg für Gebühr pflegen
	/ACCGO/FEE_DETAIL	/ACCGO/SAPLFEE_COMMON	 3022		   00		Gebührendetails
	/ACCGO/FEE_DISPLAY	/ACCGO/FEE_DISPLAY	 1000		   80		Gebührenanzeige
	/ACCGO/FEE_PRP_TXT		 0000		   02		Text der Gebühreneigenschaft pflegen
	/ACCGO/FID		 0000		   02		NummKreis für Gebühren-ID bearbeiten
	/ACCGO/FR_EVENT		 0000		   02		Frachtereignis-Customizing
	/ACCGO/FR_MIDP		 0000		   02		Incoterm-Ort f. Fracht konfigurieren
	/ACCGO/GDC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Globale abgeleitete Merkmale
	/ACCGO/GRPCAT		 0000		   02		Gruppentypen pflegen
	/ACCGO/GRPNUMRANGE		 0000		   02		Nummernkreis f. AbrechnGruppe bearb.
	/ACCGO/GRPTYP		 0000		   02		TCode für /ACCGO/V_STLGRP
	/ACCGO/INVT		 0000		   02		Verwaltung Fakturierungsbedingungen
	/ACCGO/INVTRM		 0000		   02		KAA: Abrechn. Fakt.-Bedingung Kunde
	/ACCGO/INV_MON_DISP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Anwendungsbelege anzeigen
	/ACCGO/INV_PRICE	/ACCGO/PRC_BATCH_DISTRIBUTION	 1000		   80		Report zur Aktual. v. PreisfindLosen
	/ACCGO/INV_ROUTER	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Rechnungsrouter
	/ACCGO/LDC_CUST		 0000		   02		LDE-relevante TSW-Orte pflegen
	/ACCGO/LDC_DISP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Ladedatenerfassung anzeigen
